Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
"Homo Neanderthalensis
",0.17381643,Europa,central,Germany,cold forest,1011.04633,164.95692,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,1.96821308,Africa,south,South Africa,mixed,323.48104,109.11291,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Sediba,2.51141699,Africa,south,South Africa,mixed,270.77735,110.18608,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Naledi,0.46301154,Africa,south,South Africa,jungle,349.68097,137.76573,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6.28152214,Africa,oriental,Kenya,forest,191.45158,123.96391,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rodhesiensis,0.90356981,Africa,oriental,Ethiopia,savannah,1072.19223,155.13133,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Sapiens,0.44702799,Africa,oriental,Kenya,savannah,1312.66792,164.11819,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Anamensis,4.52155963,Africa,oriental,Kenya,forest-gallery,333.93974,117.6746,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Sapiens,0.20986517,Africa,oriental,Kenya,savannah,1211.92506,178.77337,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Rudolfensis,2.99979902,Africa,oriental,Kenya,savannah,608.29855,139.83705,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Paranthropus Robustus,1.75344722,Africa,south,South Africa,jungle,577.84441,117.32999,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Floresiensis,0.71483692,Asia ,oriental,Indonesia,peninsular,229.05114,92.36984,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Robustus,2.49386552,Africa,south,South Africa,jungle,406.45344,121.09443,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.82260304,Africa,oriental,Kenya,savannah,885.84603,154.93303,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.36927724,Asia ,west,Indonesia,savannah,1042.3715,166.11799,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,3.87989276,Africa,oriental,Ethiopia,mixed,172.9354,107.16604,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Garhi,2.78264267,Africa,oriental,Ethiopia,mixed,467.76217,126.24698,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.85175388,Europa,central,Germany,cold forest,1247.92629,163.00346,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Habilis,2.28365987,Africa,oriental,Ethiopia,savannah,694.18143,137.98272,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Antecesor,1.4920524,Europa,west,Spain,savannah,1150.61384,168.77102,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Ardipithecus ramidus / kabadda,3.95250904,Africa,oriental,Ethiopia,mixed,438.71289,116.10527,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.4449611,Africa,oriental,Ethiopia,mixed,376.55837,118.01838,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Anamensis,3.92794404,Africa,oriental,Kenya,forest-gallery,368.25983,113.63382,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Sediba,2.16592524,Africa,south,South Africa,mixed,496.5384,116.66614,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Habilis,2.41611029,Africa,oriental,Ethiopia,savannah,662.69679,138.05226,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Heidelbergensis,1.02378039,Europa,central,Germany,cold forest,1422.07095,177.43412,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
"Homo Neanderthalensis
",0.34877581,Europa,central,Germany,cold forest,1184.16333,158.62371,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Sediba,2.22453862,Africa,south,South Africa,mixed,445.81461,108.09295,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Sediba,2.51747429,Africa,south,South Africa,mixed,444.22447,102.82201,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Rodhesiensis,1.02093652,Africa,oriental,Ethiopia,savannah,1102.36333,145.97585,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Sahelanthropus tchadensis,7.4442996,Africa,central,Republic of Chad,mixed,118.85372,80.48452,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Sapiens,0.36148828,Africa,oriental,Kenya,savannah,1157.51585,172.35275,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
"Homo Neanderthalensis
",0.08807501,Europa,central,Germany,cold forest,1211.31019,159.39036,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.22640896,Africa,south,South Africa,forest-gallery,492.90329,107.15512,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Sapiens,0.37856077,Africa,oriental,Kenya,savannah,1124.12607,172.34008,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Africanus,4.08799287,Africa,south,South Africa,forest-gallery,508.00145,115.28472,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Sapiens,0.79427256,Africa,oriental,Kenya,savannah,1224.28198,175.97709,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Habilis,2.64882484,Africa,oriental,Ethiopia,savannah,794.40183,120.43043,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Bahrelghazali,3.81637492,Africa,central,Republic of Chad,mixed,164.26722,111.59335,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Rodhesiensis,0.40933996,Africa,oriental,Ethiopia,savannah,979.7927,147.67632,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Floresiensis,0.50874177,Asia ,oriental,Indonesia,peninsular,168.67437,95.77215,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.66268929,Africa,south,South Africa,forest-gallery,553.84418,115.10141,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
hominino Sahelanthropus tchadensis,7.29060017,Africa,central,Republic of Chad,mixed,224.08851,84.44992,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Anamensis,4.69022609,Africa,oriental,Kenya,forest-gallery,335.45217,127.00949,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Bahrelghazali,3.45734199,Africa,central,Republic of Chad,mixed,339.80162,111.68705,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Anamensis,4.76534713,Africa,oriental,Kenya,forest-gallery,256.81299,118.91714,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Habilis,2.82882866,Africa,oriental,Ethiopia,savannah,751.62167,134.97015,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Robustus,2.15522615,Africa,south,South Africa,jungle,430.75533,115.55447,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Boisei,2.24682981,Africa,oriental,Ethiopia,forest,453.74577,113.76701,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Sapiens,0.67969284,Africa,oriental,Kenya,savannah,1368.43732,177.59789,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Habilis,2.83432716,Africa,oriental,Ethiopia,savannah,680.72897,122.85537,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4.26888874,Africa,oriental,Ethiopia,mixed,270.50443,104.75213,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Habilis,2.43540892,Africa,oriental,Ethiopia,savannah,751.39594,136.93342,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Naledi,0.57819479,Africa,south,South Africa,jungle,475.25384,137.7859,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.59638812,Africa,south,South Africa,forest-gallery,463.08974,114.5901,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Bahrelghazali,3.49446933,Africa,central,Republic of Chad,mixed,223.08787,111.54682,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Africanus,3.48346451,Africa,south,South Africa,forest-gallery,576.92949,118.04603,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Paranthropus Aethiopicus,2.42674926,Africa,oriental,Kenya,forest-savanna,310.17385,104.32162,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,3.68994781,Africa,oriental,Kenya,mixed,435.72712,133.72726,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Bahrelghazali,3.61595977,Africa,central,Republic of Chad,mixed,324.06924,117.05448,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Georgicus,2.04977084,Asia ,west,Georgia,savannah,861.20353,145.98583,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Afarensis,4.14139172,Africa,oriental,Kenya,mixed,387.47518,130.01906,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Floresiensis,0.74557388,Asia ,oriental,Indonesia,peninsular,370.43216,102.65748,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Georgicus,1.74519595,Asia ,west,Georgia,savannah,624.44897,157.72643,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Ergaster,1.36468116,Africa,oriental,Kenya,savannah,708.50262,169.07119,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,1.0394253,Africa,oriental,Ethiopia,savannah,1093.74093,143.54448,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Afarensis,4.15498786,Africa,oriental,Kenya,mixed,230.76175,139.78625,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Afarensis,4.20899811,Africa,oriental,Kenya,mixed,302.40674,126.17139,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
"Homo Neanderthalensis
",0.21307509,Europa,central,Germany,cold forest,1230.42978,160.48356,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.6473585,Africa,south,South Africa,forest-gallery,539.07714,105.27807,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
hominino Ardipithecus ramidus / kabadda,4.22794046,Africa,oriental,Ethiopia,mixed,217.8872,118.60386,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Sediba,2.54334983,Africa,south,South Africa,mixed,292.20291,111.08595,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Sapiens,0.4419536,Africa,oriental,Kenya,savannah,1209.65556,177.75358,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Erectus,1.72510298,Asia ,west,Indonesia,savannah,1123.50945,163.91342,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Orrorin tugenencin,6.21531602,Africa,oriental,Kenya,forest,221.04616,116.39556,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,1.83596709,Asia ,west,Georgia,savannah,718.87409,157.14635,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,4.2393103,Africa,oriental,Ethiopia,mixed,397.2482,108.2192,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.37991889,Africa,oriental,Ethiopia,mixed,427.21093,106.51286,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Sediba,2.41986646,Africa,south,South Africa,mixed,396.52221,116.485,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Erectus,1.80523004,Asia ,west,Indonesia,savannah,901.17436,166.8312,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,0.50964599,Africa,oriental,Ethiopia,savannah,1102.73091,152.7635,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Orrorin tugenencin,5.99340706,Africa,oriental,Kenya,forest,195.31778,122.95138,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Floresiensis,0.77781875,Asia ,oriental,Indonesia,peninsular,422.76701,109.891,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Boisei,2.899241,Africa,oriental,Ethiopia,forest,517.85882,107.06,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,3.76248741,Africa,central,Republic of Chad,mixed,340.64554,112.75189,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Rudolfensis,2.68780674,Africa,oriental,Kenya,savannah,608.64454,131.53518,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Georgicus,1.81813924,Asia ,west,Georgia,savannah,662.45532,150.58551,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Garhi,3.09972268,Africa,oriental,Ethiopia,mixed,480.07668,115.80802,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Rodhesiensis,0.74722914,Africa,oriental,Ethiopia,savannah,1193.63713,142.52108,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Boisei,2.94835976,Africa,oriental,Ethiopia,forest,446.87621,111.89752,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,4.26176125,Africa,oriental,Ethiopia,mixed,212.03174,115.69989,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Heidelbergensis,0.81917882,Europa,central,Germany,cold forest,1393.51943,174.52807,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Robustus,2.1808824,Africa,south,South Africa,jungle,528.61032,117.53744,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,2.45431035,Africa,south,South Africa,mixed,277.26112,110.7601,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Aethiopicus,2.96893886,Africa,oriental,Kenya,forest-savanna,360.25012,115.57017,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.3390594,Asia ,west,Indonesia,savannah,1139.78239,164.98959,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Garhi,2.54159571,Africa,oriental,Ethiopia,mixed,523.87537,117.89838,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Anamensis,4.34788834,Africa,oriental,Kenya,forest-gallery,260.86602,124.77538,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Georgicus,1.68194986,Asia ,west,Georgia,savannah,681.79754,143.13087,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,3.90724881,Africa,oriental,Ethiopia,mixed,211.12577,111.18206,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
"Homo Neanderthalensis
",0.75033237,Europa,central,Germany,cold forest,1226.66702,157.42967,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Ardipithecus ramidus / kabadda,4.49197657,Africa,oriental,Ethiopia,mixed,228.90536,113.04805,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Aethiopicus,2.33271398,Africa,oriental,Kenya,forest-savanna,435.19308,105.68752,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Ardipithecus ramidus / kabadda,4.68507366,Africa,oriental,Ethiopia,mixed,408.12891,106.31176,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Paranthropus Boisei,2.45414077,Africa,oriental,Ethiopia,forest,481.00671,118.11583,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.6637422,Asia ,west,Indonesia,savannah,1069.38987,161.69411,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
"Homo Neanderthalensis
",0.10508783,Europa,central,Germany,cold forest,1185.48074,169.28918,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Anamensis,4.78020871,Africa,oriental,Kenya,forest-gallery,206.28765,123.82159,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Ergaster,2.10671467,Africa,oriental,Kenya,savannah,888.72878,152.05621,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,0.41287524,Asia ,oriental,Indonesia,peninsular,172.75908,109.63077,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.92390977,Europa,central,Germany,cold forest,1005.62239,166.3004,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Heidelbergensis,0.54971524,Europa,central,Germany,cold forest,1290.11392,177.33517,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Floresiensis,0.03633199,Asia ,oriental,Indonesia,peninsular,226.077,95.63188,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Habilis,2.26775642,Africa,oriental,Ethiopia,savannah,647.42035,136.10165,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Ergaster,1.87779847,Africa,oriental,Kenya,savannah,872.63691,153.86388,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,0.3339653,Africa,oriental,Ethiopia,savannah,994.56884,154.40008,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Erectus,1.66567993,Asia ,west,Indonesia,savannah,1160.97221,169.8222,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,2.1304415,Africa,south,South Africa,mixed,327.90297,117.41237,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Antecesor,1.30844942,Europa,west,Spain,savannah,1029.66973,161.73649,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
